Feature,Importance
categorical__CourseCategory_Project Management,0.13101457298483654
categorical__CourseLevel_Intermediate,0.11982054764906135
categorical__CourseCategory_Cybersecurity,0.11677439144747641
categorical__CourseLevel_Advanced,0.1037485376086778
categorical__CourseCategory_Marketing,0.09641266478420125
categorical__CourseLevel_Beginner,0.07531134649615852
categorical__CourseCategory_Finance,0.06586363517946013
categorical__CourseCategory_Business,0.056684468293824605
categorical__CourseCategory_Design,0.051047336811209085
categorical__CourseCategory_Machine Learning,0.046704336734935056
categorical__CourseCategory_Digital Marketing,0.04429803882738154
numeric__TeacherRating,0.01656197681920956
categorical__CourseCategory_Data Science,0.01601668134854731
categorical__CourseCategory_Web Development,0.014652788697067156
numeric__YearsOfExperience,0.012016180386287243
numeric__Age,0.00956824021887382
categorical__CourseCategory_Programming,0.00924968013402408
categorical__Expertise_Project Management,0.0021797005497062984
categorical__CourseCategory_Artificial Intelligence,0.0019334952575595693
categorical__Expertise_Digital Marketing,0.0018021007290196635
categorical__Expertise_Cybersecurity,0.0013418299798817438
categorical__Expertise_Web Development,0.0012415234335067542
categorical__Expertise_Data Science,0.0010949436528087028
categorical__Expertise_Finance,0.0010414172397385625
categorical__Gender_Male,0.0009345830692961707
categorical__Gender_Female,0.0007415176830012068
categorical__Expertise_Design,0.000509680103270544
categorical__Expertise_Business,0.0004887576607831546
categorical__Expertise_Machine Learning,0.0004206896384850414
categorical__Expertise_Artificial Intelligence,0.00033666250790981094
categorical__Expertise_Marketing,0.00017713803933918306
categorical__Expertise_Programming,1.0536034462107092e-05
